,team_id,team_name
495,280702,GamerLegion
496,280684,B8 Esports
497,280686,GamerLegion
498,280680,Team Liquid
499,280682,BetBoom Team
500,280678,Team 3DMAX
501,280676,Aurora Gaming
502,280652,Fnatic
503,280648,Ninjas in Pyjamas
504,280650,B8 Esports
505,280646,Aurora Gaming
506,280644,Team 3DMAX
507,280642,Astralis
508,280640,GamerLegion
509,280638,Team Liquid
510,280602,Team 3DMAX
511,280616,Astralis
512,280614,Fnatic
513,280608,Aurora Gaming
514,280606,Heroic
515,280612,SAW
516,280604,GamerLegion
517,280610,Legacy
518,280514,Aurora Gaming
519,280516,Astralis
520,280510,Team 3DMAX
521,280512,BetBoom Team
522,280508,GamerLegion
523,280506,Heroic
524,280504,Legacy
525,280502,paiN Gaming
526,279928,Team 3DMAX
527,279930,Team Liquid
528,279926,Heroic
529,279924,Team Liquid
530,279922,Legacy
531,279920,Team 3DMAX
532,279900,FUT Esports
533,279916,Virtus.pro
534,279906,Legacy
535,279890,Fnatic
536,279896,FUT Esports
537,279898,TYLOO
538,279914,Team 3DMAX
539,279912,MIBR
540,279886,TYLOO
541,279888,Heroic
542,279892,Fluxo
543,279894,B8 Esports
544,279904,Team Liquid
545,279902,Team 3DMAX
546,279908,The Huns Esports
547,279910,GamerLegion
548,279882,Heroic
549,279884,FUT Esports
550,279878,TYLOO
551,279880,Fnatic
552,279876,Lynn Vision Gaming
553,279874,GamerLegion
554,279870,The Huns Esports
555,279872,Virtus.pro
556,279624,FURIA Esports
557,279626,Aurora Gaming
558,279622,Natus Vincere
559,279620,FURIA Esports
560,279618,Aurora Gaming
561,279608,The Mongolz
562,279616,Imperial Esports
563,279614,Natus Vincere
564,279606,OG
565,279604,FURIA Esports
566,279612,Aurora Gaming
567,279610,Natus Vincere
568,279602,The Mongolz
569,279600,FURIA Esports
570,260092,Team Vitality
571,279568,FaZe Clan
572,279564,FaZe Clan
573,279566,MOUZ
574,279558,FURIA Esports
575,279556,Team Spirit
576,279560,MOUZ
577,279562,Team 3DMAX
578,279520,Aurora Gaming
579,279518,G2 Esports
580,279516,The Mongolz
581,279500,FaZe Clan
582,279498,Team Vitality
583,279494,Team 3DMAX
584,279496,The Mongolz
585,279492,Natus Vincere
586,279490,FURIA Esports
587,279426,MOUZ
588,279428,Team Spirit
589,279430,The Mongolz
590,279432,Astralis
591,279438,Team 3DMAX
592,279440,Inner Circle
593,279434,Team Vitality
594,279436,Gentle Mates
595,279286,FaZe Clan
596,279278,FURIA Esports
597,279284,Team Vitality
598,279276,Team Spirit
599,279282,Aurora Gaming
600,279274,MOUZ
601,279280,The Mongolz
602,279272,Team Falcons
603,279270,G2 Esports
604,279268,FURIA Esports
605,279264,Team Vitality
606,279266,Aurora Gaming
607,279260,The Mongolz
608,279262,Team Falcons
609,279258,MOUZ
610,279256,Team Spirit
611,279216,FURIA Esports
612,279214,Astralis
613,279212,G2 Esports
614,279190,Legacy
615,279196,FURIA Esports
616,279188,Team 3DMAX
617,279194,Astralis
618,279186,GamerLegion
619,279192,G2 Esports
620,279008,Heroic
621,279010,FURIA Esports
622,279014,NRG Esports
623,279006,Astralis
624,279004,G2 Esports
625,279002,Inner Circle
626,279012,M80
627,279000,HOTU
628,278920,FURIA Esports
629,278912,G2 Esports
630,278918,Legacy
631,278916,M80
632,278908,Astralis
633,278910,GamerLegion
634,278914,Team 3DMAX
635,278906,B8 Esports
636,278570,M80
637,278562,Heroic
638,278572,FURIA Esports
639,278568,Legacy
640,278574,GamerLegion
641,278564,Team 3DMAX
642,278560,G2 Esports
643,278566,Astralis
644,260088,The Mongolz
645,277880,FURIA Esports
646,277878,Team Liquid
647,277876,paiN Gaming
648,277874,FURIA Esports
649,277870,Aurora Gaming
650,277872,The Mongolz
651,277396,paiN Gaming
652,277394,Astralis
653,277392,FaZe Clan
654,277390,Astralis
655,277384,FURIA Esports
656,277388,TYLOO
657,277382,FaZe Clan
658,277386,Team 3DMAX
659,277380,G2 Esports
660,277366,Aurora Gaming
661,277370,Astralis
662,277364,Team Falcons
663,277372,Legacy
664,277374,Team 3DMAX
665,277376,Team Liquid
666,277378,Virtus.pro
667,277368,TYLOO
668,277354,FURIA Esports
669,277362,Heroic
670,277352,Aurora Gaming
671,277360,GamerLegion
672,277350,Team Falcons
673,277358,Virtus.pro
674,277348,Team 3DMAX
675,277356,The Mongolz
676,277236,FURIA Esports
677,277234,FaZe Clan
678,277232,G2 Esports
679,277230,Heroic
680,277228,Aurora Gaming
681,277226,Team Falcons
682,277224,The Mongolz
683,277222,GamerLegion
684,277826,Natus Vincere
685,277828,Ninjas in Pyjamas
686,277824,Gentle Mates
687,277822,Natus Vincere
688,277820,Passion UA
689,277818,PARIVISION
690,277810,Natus Vincere
691,277812,PARIVISION
692,277814,9INE
693,277816,B8 Esports
694,277164,Natus Vincere
695,277166,Gentle Mates
696,277170,OG
697,277168,B8 Esports
698,277526,Legacy
699,277524,BIG
700,277522,9z Team
701,277612,Team Venom
702,277512,TEAM NEXT LEVEL
703,277514,Ninjas in Pyjamas
704,277520,OG
705,277516,ENCE
706,277518,BetBoom Team
707,277510,Legacy
708,277508,SAW
709,277506,ECSTATIC
710,260086,Team Vitality
711,277006,FURIA Esports
712,277004,Team Vitality
713,277002,FaZe Clan
714,277000,MOUZ
715,276550,Team Spirit
716,276540,MOUZ
717,276534,M80
718,276524,Team Vitality
719,276548,G2 Esports
720,276546,Team Spirit
721,276530,Natus Vincere
722,276532,GamerLegion
723,276538,FURIA Esports
724,276536,MOUZ
725,276544,Legacy
726,276542,Imperial Esports
727,276522,Natus Vincere
728,276520,Team Vitality
729,276526,M80
730,276528,Fnatic
731,276516,FURIA Esports
732,276518,FlyQuest
733,276514,Team Liquid
734,276512,MOUZ
735,276508,Natus Vincere
736,276510,ECSTATIC
737,276506,Virtus.pro
738,276504,Team Vitality
739,276280,The Mongolz
740,276278,Team Vitality
741,276498,Team Falcons
742,276496,Team Vitality
743,276492,MOUZ
744,276494,Aurora Gaming
745,276490,Team Vitality
746,276488,Team 3DMAX
747,275406,Virtus.pro
748,275408,G2 Esports
749,275410,FaZe Clan
750,275412,Team Spirit
751,275398,Team Vitality
752,275400,TYLOO
753,275402,Natus Vincere
754,275404,GamerLegion
755,276138,Team Spirit
756,276134,Team Vitality
757,276136,MOUZ
758,276044,Team Spirit
759,276040,Team Vitality
760,276046,The Mongolz
761,276042,MOUZ
